fecha,satelite,cloud_cover,scene_id,RGB,SWIR,THERMAL,descargado,nivel
2026-03-24,landsat-8,78.43,LC08_L2SP_232091_20260324_02_T1,ok,ok,ok,2026-04-04 22:51,L2
2026-03-23,landsat-9,99.98,LC09_L2SP_233091_20260323_02_T2,ok,ok,ok,2026-04-04 22:51,L2
2026-03-16,landsat-9,95.99,LC09_L2SP_232091_20260316_02_T1,ok,ok,ok,2026-04-04 22:51,L2
2026-03-08,landsat-8,44.71,LC08_L2SP_232091_20260308_02_T1,ok,ok,ok,2026-04-04 22:52,L2
2026-03-07,landsat-9,99.99,LC09_L2SP_233091_20260307_02_T1,ok,ok,ok,2026-04-04 22:52,L2
2026-02-28,landsat-9,97.59,LC09_L2SP_232091_20260228_02_T1,ok,ok,ok,2026-04-04 22:52,L2
2026-02-27,landsat-8,55.46,LC08_L2SP_233091_20260227_02_T2,ok,ok,ok,2026-04-04 22:52,L2
2026-02-20,landsat-8,25.92,LC08_L2SP_232091_20260220_02_T1,ok,ok,ok,2026-04-04 22:52,L2
2026-02-19,landsat-9,99.95,LC09_L2SP_233091_20260219_02_T2,ok,ok,ok,2026-04-04 22:52,L2
2026-02-12,landsat-9,64.78,LC09_L2SP_232091_20260212_02_T1,ok,ok,ok,2026-04-04 22:52,L2
2026-02-11,landsat-8,61.01,LC08_L2SP_233091_20260211_02_T1,ok,ok,ok,2026-04-04 22:52,L2
2026-02-04,landsat-8,82.55,LC08_L2SP_232091_20260204_02_T1,ok,ok,ok,2026-04-04 22:52,L2
2026-02-03,landsat-9,89.69,LC09_L2SP_233091_20260203_02_T1,ok,ok,ok,2026-04-04 22:52,L2
2026-02-04,landsat-8,82.55,LC08_L2SP_232091_20260204_02_T1,ok,ok,ok,2026-04-05 05:45,L2
2026-04-08,landsat-9,7.53,LC09_L2SP_233091_20260408_02_T1,ok,ok,ok,2026-04-09 20:41,L2
2026-05-03,landsat-9,64.84,LC09_L2SP_232091_20260503_02_T1,ok,ok,ok,2026-05-05 11:10,L2
2026-05-10,landsat-9,80.31,LC09_L2SP_233091_20260510_02_T1,ok,ok,ok,2026-05-12 11:47,L2
2026-04-24,landsat-9,65.47,LC09_L2SP_233091_20260424_02_T1,ok,ok,ok,2026-05-20 12:18,L2
2026-04-25,Landsat 8,76.13,LC08_L1GT_232091_20260425_20260426_02_T2,ok,ok,ok,2026-05-22 12:14,L1
2026-05-19,LC09_L2SP_232091_20260519_20260520_02_T1,5,LC09_L2SP_232091_20260519_20260520_02_T1,ok,ok,ok,2026-05-26 16:59,L2
2026-05-11,LC08_L2SP_232091_20260511_20260515_02_T1,93,LC08_L2SP_232091_20260511_20260515_02_T1,ok,ok,ok,2026-05-26 16:59,L2
2026-05-02,LC08_L2SP_233091_20260502_20260514_02_T2,95,LC08_L2SP_233091_20260502_20260514_02_T2,ok,ok,ok,2026-05-26 16:59,L2
2026-05-26,LC09_L2SP_233091_20260526_20260527_02_T1,100,LC09_L2SP_233091_20260526_20260527_02_T1,ok,ok,ok,2026-05-28 13:07,L2
2026-05-18,LC08_L2SP_233091_20260518_20260528_02_T1,25,LC08_L2SP_233091_20260518_20260528_02_T1,ok,ok,ok,2026-05-29 12:57,L2
2026-05-27,LC08_L2SP_232091_20260527_20260604_02_T1,89,LC08_L2SP_232091_20260527_20260604_02_T1,ok,ok,ok,2026-06-05 09:11,L2
2026-06-04,LC09_L2SP_232091_20260604_20260605_02_T1,6,LC09_L2SP_232091_20260604_20260605_02_T1,ok,ok,ok,2026-06-07 21:03,L2
2026-06-11,LC09_L1GT_233091_20260611_20260611_02_T2,64,LC09_L1GT_233091_20260611_20260611_02_T2,ok,ok,ok,2026-06-12 19:17,L1
2026-06-03,LC08_L1GT_233091_20260603_20260603_02_RT,36,LC08_L1GT_233091_20260603_20260603_02_RT,ok,ok,ok,2026-06-12 19:18,L1
2026-06-12,LC08_L1TP_232091_20260612_20260612_02_RT,42,LC08_L1TP_232091_20260612_20260612_02_RT,ok,ok,ok,2026-06-12 21:12,L1
2026-06-03,LC08_L2SP_233091_20260603_20260612_02_T2,36,LC08_L2SP_233091_20260603_20260612_02_T2,ok,ok,ok,2026-06-13 13:36,L2
2026-06-11,LC09_L2SP_233091_20260611_20260613_02_T2,64,LC09_L2SP_233091_20260611_20260613_02_T2,ok,ok,ok,2026-06-13 23:19,L2
